date,home_team,away_team,home_score,away_score,boxscore_url
2010-04-12,Florida Marlins,Cincinnati Reds,5,6,https://www.baseball-reference.com/boxes/FLO/FLO201004120.shtml
2010-04-12,Minnesota Twins,Boston Red Sox,5,2,https://www.baseball-reference.com/boxes/MIN/MIN201004120.shtml
2010-04-12,Philadelphia Phillies,Washington Nationals,7,4,https://www.baseball-reference.com/boxes/PHI/PHI201004120.shtml
2010-04-12,San Diego Padres,Atlanta Braves,17,2,https://www.baseball-reference.com/boxes/SDN/SDN201004120.shtml
2010-04-12,Seattle Mariners,Oakland Athletics,0,4,https://www.baseball-reference.com/boxes/SEA/SEA201004120.shtml
2010-04-12,San Francisco Giants,Pittsburgh Pirates,9,3,https://www.baseball-reference.com/boxes/SFN/SFN201004120.shtml
2010-04-12,St. Louis Cardinals,Houston Astros,5,0,https://www.baseball-reference.com/boxes/SLN/SLN201004120.shtml
2010-04-12,Toronto Blue Jays,Chicago White Sox,7,8,https://www.baseball-reference.com/boxes/TOR/TOR201004120.shtml
2010-04-13,Baltimore Orioles,Tampa Bay Rays,6,8,https://www.baseball-reference.com/boxes/BAL/BAL201004130.shtml
2010-04-13,Colorado Rockies,New York Mets,11,3,https://www.baseball-reference.com/boxes/COL/COL201004130.shtml
2010-04-13,Detroit Tigers,Kansas City Royals,6,5,https://www.baseball-reference.com/boxes/DET/DET201004130.shtml
2010-04-13,Florida Marlins,Cincinnati Reds,8,10,https://www.baseball-reference.com/boxes/FLO/FLO201004130.shtml
2010-04-13,Los Angeles Dodgers,Arizona D'Backs,9,5,https://www.baseball-reference.com/boxes/LAN/LAN201004130.shtml
2010-04-13,New York Yankees,LA Angels of Anaheim,7,5,https://www.baseball-reference.com/boxes/NYA/NYA201004130.shtml
2010-04-13,Seattle Mariners,Oakland Athletics,3,0,https://www.baseball-reference.com/boxes/SEA/SEA201004130.shtml
2010-04-13,San Francisco Giants,Pittsburgh Pirates,5,6,https://www.baseball-reference.com/boxes/SFN/SFN201004130.shtml
2010-04-13,Toronto Blue Jays,Chicago White Sox,4,2,https://www.baseball-reference.com/boxes/TOR/TOR201004130.shtml
2010-04-14,Baltimore Orioles,Tampa Bay Rays,1,9,https://www.baseball-reference.com/boxes/BAL/BAL201004140.shtml
2010-04-14,Chicago Cubs,Milwaukee Brewers,7,6,https://www.baseball-reference.com/boxes/CHN/CHN201004140.shtml
2010-04-14,Cleveland Indians,Texas Rangers,2,6,https://www.baseball-reference.com/boxes/CLE/CLE201004140.shtml
2010-04-14,Colorado Rockies,New York Mets,6,5,https://www.baseball-reference.com/boxes/COL/COL201004140.shtml
2010-04-14,Detroit Tigers,Kansas City Royals,3,7,https://www.baseball-reference.com/boxes/DET/DET201004140.shtml
2010-04-14,Florida Marlins,Cincinnati Reds,5,3,https://www.baseball-reference.com/boxes/FLO/FLO201004140.shtml
