Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
44,Sonny Gray,35,STL,NL,1.9,8,2,.800,3.36,16,16,0,1,1,0,93.2,85,37,35,10,17,0,101,3,0,1,375,124,2.96,1.089,8.2,1.0,1.6,9.7,5.94,,grayso01
45,Cristopher Sánchez*,28,PHI,NL,3.3,6,2,.750,2.79,16,16,0,0,0,0,93.2,81,30,29,7,28,0,103,6,0,5,387,152,2.95,1.164,7.8,0.7,2.7,9.9,3.68,,sanchcr01
46,Andrew Heaney*,34,PIT,NL,1.3,4,7,.364,4.16,17,17,0,0,0,0,93.0,81,43,43,14,31,0,71,3,0,2,385,102,4.61,1.204,7.8,1.4,3.0,6.9,2.29,,heanean01
47,Freddy Peralta,29,MIL,NL,2.2,8,4,.667,2.90,17,17,0,0,0,0,93.0,71,31,30,12,34,0,98,5,0,3,385,137,3.91,1.129,6.9,1.2,3.3,9.5,2.88,,peralfr01
48,Erick Fedde,32,STL,NL,0.4,3,8,.273,4.56,17,17,0,1,1,0,92.2,91,50,47,10,41,1,57,2,0,1,400,91,4.65,1.424,8.8,1.0,4.0,5.5,1.39,,feddeer01
49,Michael Lorenzen,33,KCR,AL,-0.1,4,8,.333,4.95,17,17,0,0,0,0,92.2,99,53,51,17,28,0,78,2,0,10,400,83,4.76,1.371,9.6,1.7,2.7,7.6,2.79,,lorenmi01
50,Matthew Liberatore*,25,STL,NL,1.3,6,6,.500,3.70,16,16,0,0,0,0,92.1,90,40,38,7,17,0,76,2,0,2,381,112,3.04,1.159,8.8,0.7,1.7,7.4,4.47,,liberma01
51,Taj Bradley,24,TBR,AL,-0.7,5,6,.455,4.79,17,17,0,0,0,0,92.0,84,57,49,12,36,0,79,4,0,2,390,83,4.37,1.304,8.2,1.2,3.5,7.7,2.19,,bradlta01
52,Bailey Ober,29,MIN,AL,0.6,4,6,.400,5.28,17,17,0,1,0,0,92.0,108,55,54,21,22,0,74,4,2,1,406,80,5.29,1.413,10.6,2.1,2.2,7.2,3.36,,oberba01
53,Tyler Anderson*,35,LAA,AL,1.7,2,5,.286,4.12,17,17,0,0,0,0,91.2,88,46,42,15,35,4,77,3,2,5,399,101,4.78,1.342,8.6,1.5,3.4,7.6,2.20,,anderty01
54,Dylan Cease,29,SDP,NL,0.5,3,7,.300,4.53,17,17,0,0,0,0,91.1,85,49,46,10,36,1,117,3,0,2,393,91,3.23,1.325,8.4,1.0,3.5,11.5,3.25,,ceasedy01
55,Mitchell Parker*,25,WSN,NL,0.3,5,8,.385,4.63,17,17,0,0,0,0,91.1,87,51,47,11,36,0,62,3,0,2,393,86,4.57,1.347,8.6,1.1,3.5,6.1,1.72,,parkemi01
56,Nick Pivetta,32,SDP,NL,2.2,8,2,.800,3.36,16,16,0,0,0,0,91.0,70,36,34,11,24,0,101,1,0,0,362,122,3.26,1.033,6.9,1.1,2.4,10.0,4.21,,pivetni01
57,Chris Paddack,29,MIN,AL,0.8,3,7,.300,4.70,17,17,0,0,0,0,90.0,87,51,47,13,24,0,63,3,0,2,380,89,4.46,1.233,8.7,1.3,2.4,6.3,2.63,,paddach01
58,Chad Patrick,26,MIL,NL,1.3,3,7,.300,3.51,18,17,0,0,0,0,89.2,89,35,35,9,29,1,93,4,0,0,381,114,3.42,1.316,8.9,0.9,2.9,9.3,3.21,,patrich01
59,Chris Sale*,36,ATL,NL,2.5,5,4,.556,2.52,15,15,0,0,0,0,89.1,78,27,25,7,26,0,114,7,0,2,370,163,2.66,1.164,7.9,0.7,2.6,11.5,4.38,,salech01
60,Seth Lugo,35,KCR,AL,2.7,5,5,.500,2.74,15,15,0,0,0,0,88.2,68,29,27,12,28,1,76,3,0,3,352,151,4.18,1.083,6.9,1.2,2.8,7.7,2.71,,lugose01
61,Luis Ortiz,26,CLE,AL,0.5,4,9,.308,4.36,16,16,0,0,0,0,88.2,80,44,43,12,42,0,96,1,0,0,382,95,4.13,1.376,8.1,1.2,4.3,9.7,2.29,,ortizlu03
62,Tomoyuki Sugano,35,BAL,AL,1.1,6,4,.600,4.06,16,16,0,0,0,0,88.2,93,41,40,17,18,1,52,4,0,1,373,96,5.15,1.252,9.4,1.7,1.8,5.3,2.89,,suganto01
63,Clay Holmes,32,NYM,NL,1.5,8,4,.667,2.97,16,16,0,0,0,0,88.0,74,31,29,10,35,0,75,4,1,5,368,128,4.19,1.239,7.6,1.0,3.6,7.7,2.14,,holmecl01
64,Drew Rasmussen,29,TBR,AL,2.2,7,5,.583,2.78,17,17,0,0,0,0,87.1,66,27,27,9,21,0,74,4,0,2,337,142,3.59,0.996,6.8,0.9,2.2,7.6,3.52,,rasmudr01
65,Bailey Falter*,28,PIT,NL,1.1,6,3,.667,3.62,17,17,0,0,0,0,87.0,74,40,35,9,32,0,52,1,0,3,353,117,4.37,1.218,7.7,0.9,3.3,5.4,1.63,,falteba01
66,Kyle Hendricks,35,LAA,AL,1.1,5,6,.455,4.66,16,16,0,0,0,0,87.0,90,48,45,15,23,3,60,4,0,0,371,89,4.88,1.299,9.3,1.6,2.4,6.2,2.61,,hendrky01
67,JP Sears*,29,ATH,AL,0.6,6,7,.462,5.09,17,17,0,0,0,0,86.2,91,49,49,18,22,0,67,5,0,1,372,82,5.17,1.304,9.5,1.9,2.3,7.0,3.05,,searsjp01
68,Gavin Williams,25,CLE,AL,0.8,5,4,.556,3.86,17,17,0,0,0,0,86.1,77,42,37,12,49,0,82,2,1,5,375,107,4.76,1.459,8.0,1.3,5.1,8.5,1.67,,williga01
69,Jack Kochanowicz,24,LAA,AL,0.4,3,8,.273,5.44,17,17,0,0,0,0,86.0,94,53,52,15,40,2,61,6,0,3,376,77,5.54,1.558,9.8,1.6,4.2,6.4,1.53,,kochaja01
70,Brady Singer,28,CIN,NL,0.9,7,6,.538,4.31,16,16,0,0,0,0,85.2,78,44,41,10,36,0,76,4,0,1,367,104,4.23,1.331,8.2,1.1,3.8,8.0,2.11,,singebr01
71,Brandon Pfaadt,26,ARI,NL,0.2,8,5,.615,5.38,17,17,0,0,0,0,85.1,97,54,51,16,21,1,72,9,0,2,377,77,4.89,1.383,10.2,1.7,2.2,7.6,3.43,,pfaadbr01
72,Jack Flaherty,29,DET,AL,0.0,5,9,.357,4.80,16,16,0,0,0,0,84.1,69,46,45,16,35,0,100,3,0,1,353,83,4.53,1.233,7.4,1.7,3.7,10.7,2.86,,flaheja01
73,Randy Vásquez,26,SDP,NL,1.4,3,4,.429,3.84,17,17,0,0,0,0,84.1,78,37,36,12,39,0,48,6,1,2,366,107,5.40,1.387,8.3,1.3,4.2,5.1,1.23,,vasqura02
74,Germán Márquez,30,COL,NL,-0.4,3,9,.250,5.62,17,17,0,0,0,0,83.1,106,64,52,10,27,0,61,5,0,4,384,82,4.33,1.596,11.4,1.1,2.9,6.6,2.26,,marquge01
75,Dustin May,27,LAD,NL,-0.2,4,5,.444,4.68,15,15,0,0,0,0,82.2,78,47,43,12,35,3,75,7,0,1,360,84,4.68,1.367,8.5,1.3,3.8,8.2,2.14,,maydu01
76,Patrick Corbin*,35,TEX,AL,0.3,4,7,.364,4.26,15,15,0,1,0,0,82.1,83,39,39,12,24,0,65,1,0,3,346,89,4.31,1.300,9.1,1.3,2.6,7.1,2.71,,corbipa01
77,Miles Mikolas,36,STL,NL,0.0,4,5,.444,4.76,16,16,0,0,0,0,81.1,87,45,43,9,20,0,56,2,0,1,348,87,3.96,1.316,9.6,1.0,2.2,6.2,2.80,,mikolmi01
78,Landen Roupp,26,SFG,NL,0.3,6,5,.545,3.43,16,16,0,0,0,0,81.1,83,40,31,7,34,1,74,2,1,5,359,113,3.71,1.439,9.2,0.8,3.8,8.2,2.18,,rouppla01
79,Sean Burke,25,CHW,AL,0.5,4,7,.364,4.22,16,14,0,0,0,0,81.0,78,46,38,12,37,0,68,4,0,2,354,99,4.85,1.420,8.7,1.3,4.1,7.6,1.84,,burkese01
80,Davis Martin,28,CHW,AL,1.2,2,7,.222,3.79,14,13,0,0,0,0,80.2,80,38,34,12,19,0,53,4,0,1,334,110,4.56,1.227,8.9,1.3,2.1,5.9,2.79,,martida03
81,Antonio Senzatela,30,COL,NL,-0.6,3,11,.214,6.69,17,16,0,0,0,0,80.2,125,67,60,13,31,0,42,2,0,8,391,69,5.37,1.934,13.9,1.5,3.5,4.7,1.35,,senzaan01
82,Andrew Abbott*,26,CIN,NL,3.3,7,1,.875,1.79,14,14,0,1,1,0,80.1,60,21,16,9,22,0,76,1,0,3,320,250,3.51,1.021,6.7,1.0,2.5,8.5,3.45,,abbotan01
83,Will Warren,26,NYY,AL,0.5,5,4,.556,4.37,17,17,0,0,0,0,80.1,71,41,39,6,35,0,103,2,0,2,348,93,2.87,1.320,8.0,0.7,3.9,11.5,2.94,,warrewi01
84,Sandy Alcantara,29,MIA,NL,-1.3,4,8,.333,6.98,16,16,0,0,0,0,80.0,84,63,62,11,34,0,63,3,0,4,360,62,4.69,1.475,9.5,1.2,3.8,7.1,1.85,,alcansa01
85,Trevor Williams,33,WSN,NL,-0.4,3,9,.250,5.65,16,16,0,0,0,0,79.2,97,52,50,9,20,0,61,2,0,1,354,71,3.85,1.469,11.0,1.0,2.3,6.9,3.05,,willitr01
86,Ben Brown,25,CHC,NL,-1.3,4,6,.400,6.13,16,14,0,0,0,0,79.1,94,55,54,13,27,0,91,4,0,1,359,62,4.09,1.525,10.7,1.5,3.1,10.3,3.37,,brownbe02
87,Shane Smith,25,CHW,AL,0.9,3,6,.333,3.86,16,16,0,0,0,0,79.1,69,42,34,6,35,0,74,9,0,7,346,108,3.87,1.311,7.8,0.7,4.0,8.4,2.11,,smithsh02
